Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Cause,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,6,S,1,"WS, P",WS,WS,White Syndrome,Predation,,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"WS, P",WS,WS,,Predation,,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Galaxea,3,M,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,3,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,2,PYBD,PYBD,,Pacific Yellow Band Disease,,,,Others
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,E,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,2,PYBD,PYBD,,Pacific Yellow Band Disease,,,,Others
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,1,FB,FB,B,,Focal Bleaching  ,,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,4,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,M,1,"B, UWSD, FB",B,B,,Predation,Bleaching,"Non focal bleaching with predation ,marks",BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,2,M,1,B ,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,1,"B, P, PD, UWSD",B,B,Ulcerative White Spot Disease,Predation,Partly dead,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,3,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,4,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,2,PR,PR,,Pigmentation Response,,,,PR
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,D,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,1,"B, PR, P",B,B,Pigmentation Response,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies ,,,,GA
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Stylophora,1,B,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,1,"FB, P",FB,B,,Focal Bleaching  ,Predation,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,2,S,2,PYBD,PYBD,,Pacific Yellow Band Disease,,,,Others
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Platygyra,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Symphyllia,1,SM,2,PR,PR,,Pigmentation Response,,,,PR
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Platygyra,1,SM,1,"B, PD",,,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Ctenactis,1,S,2,PYBD,PYBD,,Pacific Yellow Band Disease,,,,Others
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,2,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,F,1,"WS,P, FB",WS,WS,White Syndrome,Focal Bleaching  ,Predation,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,2,S,1,"FB, P",FB,B,,Focal Bleaching  ,Predation,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,1,"WS, P, B",WS,WS,White Syndrome,Predation,Bleaching,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,6,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"FB, P",FB,B,,Predation,Focal Bleaching ,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"WS, P, C",WS,WS,White Syndrome,Predation,Competition,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Galaxea,1,M,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pachyseris,1,F,1,"UWSD, P",UWS,OWS,,Predation,Focal Bleaching ,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pachyseris,1,F,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,2,CC,1,"FB, P",FB,B,,Focal Bleaching  ,Predation,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,2,S,1,"WS, P, FB",WS,WS,White Syndrome,Focal Bleaching  ,Predation,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Lobophyllia,2,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,M,1,"FB, P, C",FB,B,,Focal Bleaching  ,Competition,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Leptoria,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Echinopora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,1,"UWSD, P",UWS,OWS,,Predation,Focal Bleaching ,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,2,S,1,"FB, P",FB,B,,Focal Bleaching  ,Predation,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Goniastrea,1,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,3,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,B ,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,3,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Galaxea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Lobophyllia,1,M,2,PR,PR,,Pigmentation Response,,,,PR
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,3,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,1,"FB, P",FB,B,,Focal Bleaching  ,Predation,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Ctenactis,1,S,2,PYBD,PYBD,,Pacific Yellow Band Disease,,,,Others
Leleuvia ,11/24/2014,4:28,LUDF1,1,Leptastrea,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Lobophyllia,1,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,5,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"B, PD",B,B,,Focal Bleaching  ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,1,"FB, P",FB,B,,Focal Bleaching  ,Predation,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1, Leptoseris ,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,5,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,E,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favia,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Galaxea,1,M,1,B ,B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,4,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,2,SM,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,M,1,"B, P ",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Isopora,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,E,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,E,1,"B, P",B,B,,Bleaching ,Predation,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,1,"FB, P",FB,B,,Predation,Focal Bleaching ,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Fungia,1,S,1,"FB, P",FB,B,,Predation,Focal Bleaching ,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,E,1,"FB, P",FB,B,,Predation,Focal Bleaching ,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,UWSD,UWS,OWS,,Predation,Focal Bleaching ,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,1,"B, P, WS",B,B,White Syndrome,Predation,Bleaching,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Leptoseris,1,F,1,"FB, P",FB,B,,Predation,Focal Bleaching ,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Leptoseris,1,F,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,1,"FB, P",FB,B,,Predation,,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,3,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,1,"FB, P",FB,B,,Predation,,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,1,FB,FB,B,,Focal Bleaching  ,,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Ctenactis,1,S,2,PYBD,PYBD,,Pacific Yellow Band Disease,,,,Others
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Merulina,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,1,"FB, WS ",FB,B,White Syndrome,Focal Bleaching  ,,Irregular white plaque,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,SM,1,"WS, P",WS,WS,White Syndrome,Predation,,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favia,1,E,1,"WS, P, FB",WS,WS,White Syndrome,Focal Bleaching  ,,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,B,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,3,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,1,FB,FB,B,,Focal Bleaching  ,,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,4,M,1,"UWSD, P",UWS,OWS,,Predation,Focal Bleaching ,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Astreopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pavona,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,1,"WS, FB",WS,WS,White Syndrome,Focal Bleaching  ,,,WS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,2,CC,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Merulina,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,2,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,SM,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,2,PR,PR,,Pigmentation Response,,,,PR
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,E,0,,,,,,,,H
